"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.wolffconstruction.com/","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction","18","166","Wolff Construction is a trusted, 5-star rated builder known for quality work, honest service, and expert remodels and custom homes done right and on time.","154","977","Wolff Construction","18","WOLFF CONSTRUCTION","18","Built with Integrity","20","Peace of Mind","13","Proven Mastery","14","","","","https://www.wolffconstruction.com/","","","","","","148045","36499","36499","5.409","","461","86","5.360","57.336","Fairly Hard","2.113","0","0","","55","26","0","100.000","36","11","0","4","3","0","","","","","6bb7c83cd3515fa4d1c3ad529652c3f8","0.044","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/","2026-08-04 11:50:49"
"https://www.wolffconstruction.com/contact","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction | Rocklin Contractor","39","344","Discover top-notch construction services. Contact for a consultation today.","75","472","Wolff Construction","18","contact us","10","","0","navigation","10","ABOUT","5","","","","https://www.wolffconstruction.com/contact","","","","","","105313","25486","25486","3.777","","83","23","3.609","60.473","Normal","0.659","1","0","","198","26","0","100.000","21","11","0","4","3","0","","","","","75453e30c9cada7b367aea2c31bc4f8","0.014","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/contact","2026-08-04 11:50:52"
"https://www.wolffconstruction.com/our-process","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction | Rocklin Contractor","39","344","Expert construction & remodeling services for dream spaces. Call for a consultation today.","90","569","Wolff Construction","18","CONSTRUCTION","12","","0","OUR PROCESS","11","MAKE THE MOST OF YOUR HOME","26","","","","https://www.wolffconstruction.com/our-process","","","","","","114627","25912","25912","3.840","","347","67","5.179","57.490","Fairly Hard","2.146","1","0","","33","26","0","100.000","26","13","0","4","3","0","","","","","a9d2cddff7e01a0728c7c82ff7e02ae4","0.026","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/our-process","2026-08-04 11:50:52"
"https://www.wolffconstruction.com/careers","text/html;charset=utf-8","200","OK","Indexable","","Join Wolff Construction Team","28","266","Empower your career with Wolff Construction. Submit your info & resume for opportunities. Join us today!","104","667","Wolff Construction","18","CAREERS","7","","0","Interested in working with the best?","36","navigation","10","","","","https://www.wolffconstruction.com/careers","","","","","","77527","21169","21169","3.137","","160","41","3.902","63.813","Normal","1.523","1","0","","53","26","0","100.000","21","11","0","4","3","0","","","","","9762cfa55fefec8e1242a914c8e6bbaa","0.017","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/careers","2026-08-04 11:50:52"
"https://www.wolffconstruction.com/silk-and-sage","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction","18","166","Wolff Construction is a trusted, 5-star rated builder known for quality work, honest service, and expert remodels and custom homes done right and on time.","154","977","Wolff Construction","18","Silk & Sage","11","","0","navigation","10","ABOUT","5","","","","https://www.wolffconstruction.com/silk-and-sage","","","","","","86276","20515","20515","3.040","","85","36","2.361","57.135","Fairly Hard","0.832","1","0","","46","26","0","100.000","35","11","0","4","3","0","","","","","4a3fa3e52118e84391567e70ac8f0873","0.205","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/silk-and-sage","2026-08-04 11:50:52"
"https://www.wolffconstruction.com/cream-and-cashmere","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction","18","166","Wolff Construction is a trusted, 5-star rated builder known for quality work, honest service, and expert remodels and custom homes done right and on time.","154","977","Wolff Construction","18","CREAM & CASHMERE","16","","0","navigation","10","ABOUT","5","","","","https://www.wolffconstruction.com/cream-and-cashmere","","","","","","90942","21175","21175","3.138","","87","38","2.289","54.759","Fairly Hard","0.816","1","0","","50","26","0","100.000","37","11","0","4","3","0","","","","","d2151070458cd314f782c33ef96e6d7e","0.211","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/cream-and-cashmere","2026-08-04 11:50:52"
"https://www.wolffconstruction.com/the-team","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction","18","166","Wolff Construction is a trusted, 5-star rated builder known for quality work, honest service, and expert remodels and custom homes done right and on time.","154","977","Wolff Construction","18","meet the team","13","","0","MAKE THE MOST OF YOUR HOME","26","navigation","10","","","","https://www.wolffconstruction.com/the-team","","","","","","95197","21920","21920","3.249","","412","78","5.282","58.763","Fairly Hard","2.978","1","0","","60","26","0","100.000","27","15","0","4","3","0","","","","","14ee13d395a6337007dbc49b27bb96d4","0.037","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/the-team","2026-08-04 11:50:53"
"https://www.wolffconstruction.com/privacy","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction","18","166","Wolff Construction is a trusted, 5-star rated builder known for quality work, honest service, and expert remodels and custom homes done right and on time.","154","977","Wolff Construction","18","","0","","0","Wolff Construction Privacy Policy","33","navigation","10","","","","https://www.wolffconstruction.com/privacy","","","","","","94028","24843","24843","3.682","","2486","372","6.683","47.357","Hard","17.936","1","0","","27","26","0","100.000","21","11","0","7","6","0","","","","","14ee017dafe6f188b0619923034a892e","0.280","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/privacy","2026-08-04 11:50:53"
"https://www.wolffconstruction.com/blog","text/html;charset=utf-8","200","OK","Indexable","","Join Wolff Construction Team","28","266","Empower your career with Wolff Construction. Submit your info & resume for opportunities. Join us today!","104","667","Wolff Construction","18","BLOG","4","","0","navigation","10","ABOUT","5","","","","https://www.wolffconstruction.com/blog","","","","","","87762","21386","21386","3.169","","550","88","6.250","66.054","Normal","4.025","1","0","","27","26","0","100.000","51","21","0","4","3","0","","","","","e1953d02447a14e0c0fee6ea78be5f07","0.025","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/blog","2026-08-04 11:50:53"
"https://www.wolffconstruction.com/sculpted-slate","text/html;charset=utf-8","200","OK","Indexable","","Wolff Construction","18","166","Wolff Construction is a trusted, 5-star rated builder known for quality work, honest service, and expert remodels and custom homes done right and on time.","154","977","Wolff Construction","18","SCULPTED SLATE","14","","0","navigation","10","ABOUT","5","","","","https://www.wolffconstruction.com/sculpted-slate","","","","","","78506","19810","19810","2.936","","77","30","2.567","54.806","Fairly Hard","0.869","1","0","","43","26","0","100.000","29","11","0","4","3","0","","","","","fd258650ba1279efe33cb95ffd56ade4","0.208","","","","","en","1.1","","","","","","https://www.wolffconstruction.com/sculpted-slate","2026-08-04 11:50:53"
